datetime,load
9/1/16 0:00,1248
9/1/16 0:15,1168
9/1/16 0:30,1176
9/1/16 0:45,1168
9/1/16 1:00,1168
9/1/16 1:15,1160
9/1/16 1:30,1152
9/1/16 1:45,1152
9/1/16 2:00,1136
9/1/16 2:15,1120
9/1/16 2:30,1096
9/1/16 2:45,1104
9/1/16 3:00,1104
9/1/16 3:15,1112
9/1/16 3:30,1088
9/1/16 3:45,1112
9/1/16 4:00,1128
9/1/16 4:15,1128
9/1/16 4:30,1136
9/1/16 4:45,1128
9/1/16 5:00,1144
9/1/16 5:15,1168
9/1/16 5:30,1184
9/1/16 5:45,1224
9/1/16 6:00,1248
9/1/16 6:15,1280
9/1/16 6:30,1296
9/1/16 6:45,1280
9/1/16 7:00,1256
9/1/16 7:15,1288
9/1/16 7:30,1280
9/1/16 7:45,1336
9/1/16 8:00,1352
9/1/16 8:15,1456
9/1/16 8:30,1504
9/1/16 8:45,1528
9/1/16 9:00,1616
9/1/16 9:15,1648
9/1/16 9:30,1704
9/1/16 9:45,1760
9/1/16 10:00,1736
9/1/16 10:15,1816
9/1/16 10:30,1800
9/1/16 10:45,1824
9/1/16 11:00,1864
9/1/16 11:15,1832
9/1/16 11:30,1888
9/1/16 11:45,1936
9/1/16 12:00,1976
9/1/16 12:15,1992
9/1/16 12:30,1992
9/1/16 12:45,2040
9/1/16 13:00,2032
9/1/16 13:15,2024
9/1/16 13:30,2048
9/1/16 13:45,2032
9/1/16 14:00,2048
9/1/16 14:15,2056
9/1/16 14:30,2048
9/1/16 14:45,2024
9/1/16 15:00,1992
9/1/16 15:15,2008
9/1/16 15:30,1992
9/1/16 15:45,1968
9/1/16 16:00,1960
9/1/16 16:15,1928
9/1/16 16:30,1896
9/1/16 16:45,1912
9/1/16 17:00,1848
9/1/16 17:15,1808
9/1/16 17:30,1760
9/1/16 17:45,1768
9/1/16 18:00,1712
9/1/16 18:15,1736
9/1/16 18:30,1744
9/1/16 18:45,1752
9/1/16 19:00,1704
9/1/16 19:15,1672
9/1/16 19:30,1648
9/1/16 19:45,1648
9/1/16 20:00,1592
9/1/16 20:15,1552
9/1/16 20:30,1496
9/1/16 20:45,1464
9/1/16 21:00,1416
9/1/16 21:15,1392
9/1/16 21:30,1384
9/1/16 21:45,1384
9/1/16 22:00,1344
9/1/16 22:15,1336
9/1/16 22:30,1296
9/1/16 22:45,1320
9/1/16 23:00,1304
9/1/16 23:15,1280
9/1/16 23:30,1280
9/1/16 23:45,1272
9/2/16 0:00,1272
9/2/16 0:15,1216
9/2/16 0:30,1176
9/2/16 0:45,1184
9/2/16 1:00,1168
9/2/16 1:15,1168
9/2/16 1:30,1144
9/2/16 1:45,1144
9/2/16 2:00,1160
9/2/16 2:15,1136
9/2/16 2:30,1104
9/2/16 2:45,1136
9/2/16 3:00,1112
9/2/16 3:15,1128
9/2/16 3:30,1112
9/2/16 3:45,1112
9/2/16 4:00,1104
9/2/16 4:15,1128
9/2/16 4:30,1160
9/2/16 4:45,1136
9/2/16 5:00,1144
9/2/16 5:15,1192
9/2/16 5:30,1184
9/2/16 5:45,1208
9/2/16 6:00,1224
9/2/16 6:15,1248
9/2/16 6:30,1272
9/2/16 6:45,1296
9/2/16 7:00,1296
9/2/16 7:15,1336
9/2/16 7:30,1352
9/2/16 7:45,1384
9/2/16 8:00,1384
9/2/16 8:15,1440
9/2/16 8:30,1472
9/2/16 8:45,1552
9/2/16 9:00,1624
9/2/16 9:15,1696
9/2/16 9:30,1728
9/2/16 9:45,1720
9/2/16 10:00,1752
9/2/16 10:15,1816
9/2/16 10:30,1808
9/2/16 10:45,1888
9/2/16 11:00,1864
9/2/16 11:15,1856
9/2/16 11:30,1904
9/2/16 11:45,1904
9/2/16 12:00,1976
9/2/16 12:15,1968
9/2/16 12:30,1944
9/2/16 12:45,1944
9/2/16 13:00,1984
9/2/16 13:15,2016
9/2/16 13:30,2008
9/2/16 13:45,2008
9/2/16 14:00,1976
9/2/16 14:15,1992
9/2/16 14:30,2000
9/2/16 14:45,2000
9/2/16 15:00,1960
9/2/16 15:15,1976
9/2/16 15:30,1960
9/2/16 15:45,1944
9/2/16 16:00,1936
9/2/16 16:15,1928
9/2/16 16:30,1928
9/2/16 16:45,1920
9/2/16 17:00,1880
9/2/16 17:15,1848
9/2/16 17:30,1848
9/2/16 17:45,1832
9/2/16 18:00,1800
9/2/16 18:15,1824
9/2/16 18:30,1816
9/2/16 18:45,1784
9/2/16 19:00,1768
9/2/16 19:15,1736
9/2/16 19:30,1744
9/2/16 19:45,1728
9/2/16 20:00,1664
9/2/16 20:15,1616
9/2/16 20:30,1576
9/2/16 20:45,1576
9/2/16 21:00,1528
9/2/16 21:15,1472
9/2/16 21:30,1384
9/2/16 21:45,1368
9/2/16 22:00,1360
9/2/16 22:15,1344
9/2/16 22:30,1304
9/2/16 22:45,1320
9/2/16 23:00,1272
9/2/16 23:15,1280
9/2/16 23:30,1264
9/2/16 23:45,1256
9/3/16 0:00,1232
9/3/16 0:15,1176
9/3/16 0:30,1168
9/3/16 0:45,1160
9/3/16 1:00,1160
9/3/16 1:15,1160
9/3/16 1:30,1160
9/3/16 1:45,1136
9/3/16 2:00,1128
9/3/16 2:15,1112
9/3/16 2:30,1128
9/3/16 2:45,1104
9/3/16 3:00,1120
9/3/16 3:15,1120
9/3/16 3:30,1112
9/3/16 3:45,1120
9/3/16 4:00,1136
9/3/16 4:15,1152
9/3/16 4:30,1144
9/3/16 4:45,1144
9/3/16 5:00,1136
9/3/16 5:15,1176
9/3/16 5:30,1176
9/3/16 5:45,1208
9/3/16 6:00,1184
9/3/16 6:15,1216
9/3/16 6:30,1224
9/3/16 6:45,1216
9/3/16 7:00,1208
9/3/16 7:15,1240
9/3/16 7:30,1256
9/3/16 7:45,1312
9/3/16 8:00,1312
9/3/16 8:15,1376
9/3/16 8:30,1456
9/3/16 8:45,1536
9/3/16 9:00,1584
9/3/16 9:15,1680
9/3/16 9:30,1688
9/3/16 9:45,1736
9/3/16 10:00,1720
9/3/16 10:15,1720
9/3/16 10:30,1736
9/3/16 10:45,1784
9/3/16 11:00,1808
9/3/16 11:15,1816
9/3/16 11:30,1808
9/3/16 11:45,1840
9/3/16 12:00,1848
9/3/16 12:15,1840
9/3/16 12:30,1864
9/3/16 12:45,1864
9/3/16 13:00,1888
9/3/16 13:15,1904
9/3/16 13:30,1872
9/3/16 13:45,1920
9/3/16 14:00,1904
9/3/16 14:15,1864
9/3/16 14:30,1904
9/3/16 14:45,1848
9/3/16 15:00,1856
9/3/16 15:15,1880
9/3/16 15:30,1816
9/3/16 15:45,1816
9/3/16 16:00,1848
9/3/16 16:15,1816
9/3/16 16:30,1832
9/3/16 16:45,1840
9/3/16 17:00,1784
9/3/16 17:15,1816
9/3/16 17:30,1768
9/3/16 17:45,1776
9/3/16 18:00,1760
9/3/16 18:15,1792
9/3/16 18:30,1832
9/3/16 18:45,1792
9/3/16 19:00,1768
9/3/16 19:15,1760
9/3/16 19:30,1728
9/3/16 19:45,1712
9/3/16 20:00,1712
9/3/16 20:15,1640
9/3/16 20:30,1632
9/3/16 20:45,1560
9/3/16 21:00,1536
9/3/16 21:15,1496
9/3/16 21:30,1432
9/3/16 21:45,1384
9/3/16 22:00,1392
9/3/16 22:15,1376
9/3/16 22:30,1320
9/3/16 22:45,1304
9/3/16 23:00,1288
9/3/16 23:15,1264
9/3/16 23:30,1272
9/3/16 23:45,1280
9/4/16 0:00,1240
9/4/16 0:15,1192
9/4/16 0:30,1176
9/4/16 0:45,1152
9/4/16 1:00,1160
9/4/16 1:15,1144
9/4/16 1:30,1136
9/4/16 1:45,1136
9/4/16 2:00,1136
9/4/16 2:15,1136
9/4/16 2:30,1120
9/4/16 2:45,1104
9/4/16 3:00,1104
9/4/16 3:15,1096
9/4/16 3:30,1104
9/4/16 3:45,1136
9/4/16 4:00,1104
9/4/16 4:15,1136
9/4/16 4:30,1136
9/4/16 4:45,1128
9/4/16 5:00,1136
9/4/16 5:15,1168
9/4/16 5:30,1176
9/4/16 5:45,1184
9/4/16 6:00,1184
9/4/16 6:15,1224
9/4/16 6:30,1216
9/4/16 6:45,1216
9/4/16 7:00,1224
9/4/16 7:15,1248
9/4/16 7:30,1272
9/4/16 7:45,1312
9/4/16 8:00,1368
9/4/16 8:15,1392
9/4/16 8:30,1440
9/4/16 8:45,1480
9/4/16 9:00,1568
9/4/16 9:15,1680
9/4/16 9:30,1696
9/4/16 9:45,1704
9/4/16 10:00,1704
9/4/16 10:15,1760
9/4/16 10:30,1752
9/4/16 10:45,1776
9/4/16 11:00,1792
9/4/16 11:15,1776
9/4/16 11:30,1848
9/4/16 11:45,1840
9/4/16 12:00,1832
9/4/16 12:15,1848
9/4/16 12:30,1840
9/4/16 12:45,1904
9/4/16 13:00,1888
9/4/16 13:15,1888
9/4/16 13:30,1920
9/4/16 13:45,1896
